nwb_file_name,epoch,trial_number_by_epoch,leaf,stem,reward,poke_in_ts,reward_on_ts,reward_off_ts,poke_out_ts,contingency_count,trials_thresh_per_conting,minutes_thresh_per_conting,p_rew_leaf1,p_rew_leaf2,p_rew_leaf3,p_rew_leaf4,p_rew_leaf5,p_rew_leaf6,decay_percent,p_rew_reset_leaf1,p_rew_reset_leaf2,p_rew_reset_leaf3,p_rew_reset_leaf4,p_rew_reset_leaf5,p_rew_reset_leaf6
senor20201030_.nwb,2,0,4,B,0,1604078251.9838529,,,1604078258.4288528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,1,3,B,0,1604078260.584853,,,1604078267.3668528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,2,2,A,0,1604078272.206853,,,1604078278.0798528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,3,1,A,1,1604078280.305853,1604078280.3488529,1604078280.647853,1604078289.5868528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,4,2,A,1,1604078293.3138528,1604078293.354853,1604078293.6548529,1604078300.531853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,5,1,A,1,1604078302.758853,1604078302.791853,1604078303.091853,1604078309.581853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,6,2,A,0,1604078311.716853,,,1604078313.114853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,7,1,A,1,1604078315.364853,1604078315.403853,1604078315.702853,1604078321.5758529,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,8,4,B,0,1604078326.225853,,,1604078326.808853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,9,3,B,0,1604078329.7538528,,,1604078330.8368528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,10,5,C,0,1604078337.600853,,,1604078343.101853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,11,6,C,1,1604078345.7468529,1604078345.817853,1604078346.117853,1604078354.8998528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,12,5,C,1,1604078357.3028529,1604078357.3488529,1604078357.6488528,1604078366.8328528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,13,1,A,1,1604078372.1748528,1604078372.2348528,1604078372.534853,1604078378.999853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,14,2,A,0,1604078381.0248528,,,1604078381.886853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,15,1,A,1,1604078384.6848528,1604078384.759853,1604078385.0598528,1604078390.9258528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,16,2,A,0,1604078393.111853,,,1604078393.6618528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,17,1,A,1,1604078395.9578528,1604078396.0108528,1604078396.3108528,1604078402.623853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,18,2,A,1,1604078405.982853,1604078406.035853,1604078406.3358529,1604078414.235853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,19,1,A,1,1604078416.4918528,1604078416.5428529,1604078416.8428528,1604078422.0508528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,20,2,A,0,1604078424.1198528,,,1604078425.2638528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,21,1,A,1,1604078427.5538528,1604078427.5928528,1604078427.8928528,1604078432.5808527,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,22,2,A,1,1604078434.798853,1604078434.8728528,1604078435.1728528,1604078441.3728528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,23,1,A,1,1604078443.713853,1604078443.7468529,1604078444.0468528,1604078449.120853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,24,2,A,1,1604078451.275853,1604078451.318853,1604078451.617853,1604078457.8728528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,25,1,A,1,1604078460.2748528,1604078460.3108528,1604078460.610853,1604078465.887853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,26,2,A,0,1604078468.0438528,,,1604078468.7408528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,27,1,A,0,1604078471.1678529,,,1604078471.943853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,28,2,A,0,1604078474.097853,,,1604078474.7798529,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,29,1,A,1,1604078477.111853,1604078477.1518528,1604078477.4518528,1604078482.656853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,30,4,B,0,1604078486.2478528,,,1604078486.9778528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,31,3,B,1,1604078489.966853,1604078490.031853,1604078490.331853,1604078496.5498528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,32,4,B,0,1604078499.647853,,,1604078500.4018528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,33,3,B,0,1604078503.9358528,,,1604078504.772853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,34,4,B,0,1604078507.0498528,,,1604078507.768853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,35,3,B,0,1604078509.8988528,,,1604078510.643853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,36,4,B,0,1604078512.7768528,,,1604078513.521853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,37,5,C,0,1604078517.317853,,,1604078521.933853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,38,6,C,1,1604078524.7408528,1604078524.7928529,1604078525.1038527,1604078530.9358528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,39,5,C,0,1604078533.7148528,,,1604078534.351853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,40,6,C,1,1604078538.255853,1604078538.2908528,1604078538.590853,1604078544.574853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,41,1,A,1,1604078549.6028528,1604078549.657853,1604078549.9578528,1604078555.0528529,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,42,2,A,0,1604078557.6988528,,,1604078558.400853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,43,1,A,0,1604078561.3598528,,,1604078562.2048528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,44,2,A,0,1604078567.176853,,,1604078568.2928529,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,45,1,A,1,1604078570.5468528,1604078570.591853,1604078570.8918529,1604078575.5958529,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,46,2,A,0,1604078579.6788528,,,1604078580.2238529,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,47,1,A,1,1604078582.4848528,1604078582.5198529,1604078582.8198528,1604078588.0198529,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,48,4,B,0,1604078594.055853,,,1604078594.7838528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,49,3,B,0,1604078596.933853,,,1604078597.857853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,50,4,B,0,1604078600.390853,,,1604078600.9388528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,51,3,B,0,1604078603.035853,,,1604078603.7978528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,52,4,B,1,1604078606.5398529,1604078606.5968528,1604078606.896853,1604078614.2678528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,53,5,C,0,1604078618.058853,,,1604078618.936853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,54,6,C,1,1604078621.5668528,1604078621.623853,1604078621.923853,1604078628.3328528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,55,5,C,0,1604078631.920853,,,1604078632.7018528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,56,6,C,1,1604078635.9418528,1604078635.9808528,1604078636.2798529,1604078641.9028528,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,57,5,C,0,1604078646.7708528,,,1604078647.555853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,58,6,C,0,1604078651.2778528,,,1604078652.130853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,59,5,C,0,1604078655.620853,,,1604078656.245853,0,60,20,80,50,20,20,20,80,,,,,,,
senor20201030_.nwb,2,60,6,C,1,1604078659.1498528,1604078659.1918528,1604078659.4918528,1604078666.0278528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,61,5,C,0,1604078668.8468528,,,1604078669.6088529,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,62,6,C,0,1604078673.1648529,,,1604078673.9148529,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,63,5,C,0,1604078677.4518528,,,1604078678.1948528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,64,6,C,0,1604078685.3228528,,,1604078686.0018528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,65,1,A,1,1604078691.8098528,1604078691.8628528,1604078692.1858528,1604078698.0738528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,66,2,A,0,1604078700.3998528,,,1604078701.5208528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,67,1,A,0,1604078703.8758528,,,1604078704.5988529,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,68,2,A,0,1604078707.002853,,,1604078707.7338529,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,69,1,A,0,1604078710.6818528,,,1604078711.361853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,70,4,B,1,1604078716.0008528,1604078716.0468528,1604078716.3468528,1604078722.8468528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,71,3,B,1,1604078725.4418528,1604078725.4878528,1604078725.7878528,1604078731.9378529,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,72,4,B,1,1604078737.7408528,1604078737.7968528,1604078738.0968528,1604078743.5808527,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,73,3,B,0,1604078746.6778529,,,1604078747.4288528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,74,4,B,1,1604078750.1168528,1604078750.1628528,1604078750.4618528,1604078756.7188528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,75,3,B,0,1604078759.463853,,,1604078760.2408528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,76,4,B,1,1604078762.9018528,1604078762.966853,1604078763.2668529,1604078768.7808528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,77,3,B,0,1604078771.0238528,,,1604078771.837853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,78,4,B,1,1604078774.1758528,1604078774.2148528,1604078774.5148528,1604078780.1778529,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,79,3,B,1,1604078782.640853,1604078782.6918528,1604078782.9918528,1604078788.3768528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,80,4,B,1,1604078790.6788528,1604078790.7208529,1604078791.0208528,1604078797.0078528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,81,3,B,1,1604078799.535853,1604078799.5768528,1604078799.8768528,1604078805.0498528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,82,4,B,1,1604078807.3538527,1604078807.403853,1604078807.703853,1604078813.5038528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,83,3,B,0,1604078816.0938528,,,1604078817.157853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,84,4,B,0,1604078819.3628528,,,1604078820.136853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,85,3,B,1,1604078822.407853,1604078822.456853,1604078822.7568529,1604078827.9938529,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,86,4,B,1,1604078830.327853,1604078830.3768528,1604078830.676853,1604078836.1948528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,87,3,B,0,1604078838.6458528,,,1604078839.393853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,88,4,B,1,1604078841.5738528,1604078841.620853,1604078841.920853,1604078846.3158529,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,89,3,B,0,1604078848.778853,,,1604078849.5378528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,90,4,B,0,1604078852.0148528,,,1604078852.735853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,91,3,B,0,1604078855.031853,,,1604078855.758853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,92,4,B,1,1604078858.3828528,1604078858.446853,1604078858.7468529,1604078864.7648528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,93,3,B,0,1604078868.620853,,,1604078869.5148528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,94,4,B,1,1604078871.778853,1604078871.8368528,1604078872.136853,1604078876.4978528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,95,3,B,0,1604078878.9328527,,,1604078879.7118528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,96,4,B,1,1604078881.963853,1604078882.0078528,1604078882.3078527,1604078887.340853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,97,3,B,1,1604078889.752853,1604078889.7978528,1604078890.097853,1604078894.7708528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,98,4,B,1,1604078897.012853,1604078897.055853,1604078897.3558528,1604078901.406853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,99,3,B,0,1604078903.8458529,,,1604078904.647853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,100,4,B,1,1604078907.034853,1604078907.0728528,1604078907.3728528,1604078912.262853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,101,3,B,0,1604078914.6718528,,,1604078915.364853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,102,4,B,1,1604078917.653853,1604078917.696853,1604078917.995853,1604078922.6058528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,103,5,C,0,1604078927.4028528,,,1604078928.2578528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,104,6,C,0,1604078930.893853,,,1604078931.716853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,105,5,C,0,1604078934.242853,,,1604078934.9908528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,106,6,C,0,1604078938.1948528,,,1604078939.0958529,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,107,5,C,0,1604078941.692853,,,1604078942.6958528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,108,6,C,0,1604078952.393853,,,1604078953.308853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,109,1,A,0,1604078958.9878528,,,1604078959.9288528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,110,2,A,1,1604078962.512853,1604078962.567853,1604078962.8668528,1604078969.4738529,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,111,1,A,0,1604078971.965853,,,1604078972.7058527,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,112,2,A,1,1604078975.0998528,1604078975.150853,1604078975.4508529,1604078980.7938528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,113,1,A,0,1604078983.4048529,,,1604078984.6958528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,114,2,A,0,1604078987.002853,,,1604078988.041853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,115,1,A,0,1604078991.2278528,,,1604078992.0638528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,116,2,A,0,1604078994.390853,,,1604078995.3728528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,117,1,A,0,1604078998.3918529,,,1604078999.1628528,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,118,2,A,1,1604079004.4118528,1604079004.4738529,1604079004.7738528,1604079010.367853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,119,1,A,1,1604079013.4518528,1604079013.5068529,1604079013.8068528,1604079020.061853,1,60,20,20,50,50,80,20,20,,,,,,,
senor20201030_.nwb,2,120,2,A,0,1604079022.489853,,,1604079023.5238528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,121,1,A,1,1604079025.7838528,1604079025.8538527,1604079026.153853,1604079031.1258528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,122,2,A,0,1604079033.4228528,,,1604079034.074853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,123,1,A,0,1604079036.693853,,,1604079037.374853,2,60,20,50,20,20,50,80,50,,,,,,,
